IdVehiculo;Serial;Marca;Modelo;Asientos;Motor;Año;Tipo vehiculo;Gpo. estatus;Uso;Estatus;Combustible;Eco;Placas;Placas federales;Descripcion;aire;jala;mochila;conversion/reparacion;reinsidente;Columna1
1809;3MBAA4CS19M033164;Mercedes benz;Torino Marco Polo;41;9,07E+13;2009;Camion;Activo;Capacitación;Paro Técnico;Diesel;936;A17913R;547-RL5;S/A-;No;Sí;No;na;Sí;Si
1810;3MBAA4CS39M033165;Mercedes benz;Torino Marco Polo;41;9,07E+13;2009;Camion;Activo;Capacitación;Paro Técnico;Diesel;937;A17912R;531-RL5;S/A-;;;;;;
179;3MBAA2CN13M004401;Mercedes benz;Boxer;40;9,05E+13;2003;Camion;Inactivo;Operaciones;Por Vender;Diesel;5101;;003 RP2;Proceso de retiro pago y facturación a Martin Garduño;;;;;;
1617;JTFSX23P896052082;Toyota;Hiace;15;2TR8165779;2009;Camioneta;Inactivo;Operaciones;Por Vender;Gasolina Magna;867;447RL-5;447-RL5;Proceso de retiro pago y facturación a Martin Garduño;;;;;;
3075;3CEJ2X51225002153;Masa;C-11r;41;461842230;2002;Camion;Inactivo;Capacitación;Por Vender;Diesel;416;183-216-R;;Proceso de retiro pago y facturación a Martin Garduño;;;;;;
3089;3MBAA2DK88M031168;Mercedes benz;Ayco;41;9,24915E+13;2008;Camion;Inactivo;Operaciones;Por Vender;Diesel;874;A18302R;379RR3;Proceso de retiro pago y facturación a Martin Garduño;;;;;;
3365;3MBAA2DK68M031170;Mercedes benz;Ayco;41;9,24915E+13;2008;Camion;Activo;Capacitación;Paro Técnico;Diesel;873;A18124R;;S/A-;;;;;;
1253;3HVBZAAN57N577505;International;Zafiro;41;470HM2U1510607;2007;Camion;Activo;Capacitación;Paro Técnico;Diesel;485;*;79RB5B;S/A-;;;;;;
2604;JTFSX23P7D6127492;Toyota;Hiace;15;2TR8436018;2013;Camioneta;Activo;Mantenimiento;Operando;Gasolina Magna;2604;;491-RN8;;;;;;;
3860;JTFSX23P5D6135008;Toyota;Hiace;15;2TR8491245;2013;Camioneta;Activo;Capacitación;Mantenimiento;Gasolina Magna;1417;;302RP5;UTILITARIOS LIPU MTY;;;;;;
3946;JTFSX23P5E6150691;Toyota;Hiace;15;2TR-8668534;2014;Camioneta;Activo;Operaciones;Alto Rezago Mantenimiento;Gasolina Magna;1176;;12RA7D;RESCATES MTTO;;;;;;
15003;9532E82W3RR053371;Volkswagen;Ayco;45;0166570A046566;2024;Camion;Activo;Operaciones;Operando;Diesel;13053;A26789R;58RE9E;ABB ELECTRICAL CONTROL SYSTEMS;si;si;si;na;no;
13460;3HBBZTBN8PL489079;International;Zafiro;41;Y1A072487;2023;Camion;Activo;Operaciones;Operando;Diesel;11869;;90RD1S;HAMADEN;si;si;si;na;no;
8025;WD3YF4A95KP141592;Mercedes benz;Sprinter;21;6,51958E+13;2019;Camioneta;Activo;Operaciones;Operando;Diesel;8226;;08RB3Z;AMAZON MTY;;;;;;
15230;3HBBZTBN4SL365125;International;Zafiro;41;Y1A076820;2025;Camion;Activo;Operaciones;Operando;Diesel;13234;A26993R;83RE1F;ABB ELECTRICAL CONTROL SYSTEMS;no;no;si;pte diagnostico;si;
